Code #,Name,God,Rarity,Tags,Role,Cost,Priority,Simplified Description,Card Description,WIP Status,Implemented,Column 1,Column 2
FND-AU-026,Hot Blast,Anvi [Scrap/Tokens],Rare,Offensive,Lil' Furnace,3,,,"If you've discarded Scrap this round, create a Gold and gain 1 mp. 95% Attack",,,,
FND-AU-027,Preheating,Anvi [Scrap/Tokens],Rare,Utility,Lil' Furnace,0,,,"This card may only be played if it's the first card played this round. You may no longer switch out this round. If you were to gain Attack Up or Defense Up, they gain that much +1 instead. ",,,,
FND-AU-028,Reverbratory Furnace,Anvi [Scrap/Tokens],Rare,Offensive,Lil' Furnace,2,,,"As an additional cost to play this card, discard any token card. All opponent Faes gain Defense Down 2. ",,,,
FND-AU-029,Smelt Down,Anvi [Scrap/Tokens],Epic,Defence,Lil' Furnace,3,,,"Discard your hand. For each card discarded, create that many Scrap in all ally Fae decks. (10% per scrap in ally decks) Attack. ",,,,
FND-AU-030,Scrap Hunter,Anvi [Scrap/Tokens],Epic,Utility,Lil' Furnace,2,,,"For the rest of the game, whenever Lil' Furnace draws a Scrap card, draw another card. ",,,,
FND-DB-001,Strike,Default,Common,Attack,Basic,2,0,Deal (100% ATK) damage.,Deal (100% ATK) damage.,V4 Updated,Updated,,
FND-DB-002,Block,Default,Common,"Defence, Self-Target",Basic,2,1,Gain (100% DEF) block.,Gain (100% DEF) block.,V4 Updated,Updated,,
FND-DB-003,Light Strike,Default,Common,Attack,Basic,1,0,Deal (50% ATK) damage.,Deal (50% ATK) damage.,V4 Updated,Updated,,
FND-DB-004,Light Block,Default,Common,"Defence, Self-Target",Basic,1,1,Gain (50% DEF) block.,Gain (50% DEF) block.,V4 Updated,Updated,,
FND-DB-005,Store Power,Default,Epic,"Utility, Self-Target",Basic,0,0,Next turn start: Gain 1 mp.,Next turn start: Gain 1 mp.,V4 Updated,Updated,,
FND-DB-006,Stock Up,Default,Common,"Utility, Self-Target",Basic,2,0,Next turn start: draw 2.,Next turn start: draw 2.,V4 Updated,Updated,,
FND-DB-007,Meditate,Default,Uncommon,"Utility, Self-Target",Basic,4,0,Gain 1 additional MP per turn for the rest of the game. ,Gain 1 additional MP per turn for the rest of the game. ,V4 Updated,Updated,,
FND-DB-008,Last Chance,Default,Rare,"Utility, Self-Target",Basic,1,0,Take (300% Opponent ATK). Draw 5 and gain 3 MP.,Take (300% Opponent ATK). Draw 5 and gain 3 MP.,V4 Updated,Updated,,
FND-DB-009,Speed Up,Default,Common,"Utility, Self-Target",Basic,0,0,Your next played card goes first.,Your next played card gains an increased level of priority.,V4 Updated,Updated,,
FND-DB-010,Sneak Attack,Default,Rare,Attack,Basic,1,0,"Swap to another Fae, they deal (45% ATK) damage.","Swap to another Fae, they deal (45% ATK) damage.",V4 Updated,Updated,,
FND-DB-011,Shield Slap,Default,Common,Attack,Basic,2,0,Deal (50% ATK) damage. Gain (50% DEF) block.,Deal (50% ATK) damage. Gain (50% DEF) block.,V4 Updated,Updated,,
FND-DB-012,Follow Up,Default,Uncommon,Attack,Basic,2,0,"Deal (75% ATK) damage. If this fae swapped in this turn, deal (150% ATK) damage instead.","Deal (75% ATK) damage. If this fae swapped in this turn, deal (150% ATK) damage instead.",V4 Updated,Updated,,
FND-DB-013,Last Stand,Default,Epic,Attack,Basic,0,0,"When you play this card, your faes can no longer play other cards for the rest of the turn. Deal (100% ATK) damage.","When you play this card, your faes can no longer play other cards for the rest of the turn. Deal (100% ATK) damage.",V4 Updated,Updated,,
FND-DB-014,Cleave,Default,Uncommon,Attack,Basic,2,0,Deal (40% ATK) damage. Deal (30% ATK) damage to their shelved faes.,Deal (40% ATK) damage. Deal (30% ATK) damage to their shelved faes.,V4 Updated,Updated,,
FND-DB-015,Quick Strike,Default,Uncommon,Attack,Basic,1,1,Deal (35% ATK) damage.,Deal (35% ATK) damage.,V4 Updated,Updated,,
FND-DB-016,Endless Blows,Default,Epic,Attack,Basic,2,0,"Shuffle 3 ""Endless Blows"" into your deck. Deal (50% ATK) damage, plus (10% ATK) for each Endless Blows played this game","Shuffle 3 ""Endless Blows"" into your deck. Deal (50% ATK) damage, plus an additional (10% ATK) damage for each Endless Blows played this game",V4 Updated,Updated,,
FND-DB-017,Piercing Strike,Default,Uncommon,Attack,Basic,2,0,Deal (75% ATK) damage. This damage is doubled against block.,Deal (75% ATK) damage. This damage is doubled against block.,V4 Updated,Updated,,
FND-DB-018,Prime,Default,Rare,"Utility, Self-Target",Basic,1,0,Gain Regen 3. Gain 1 MP.,Gain Regen 3. Gain 1 MP.,V4 Updated,Updated,,
FND-DB-019,Rejuvenate,Default,Uncommon,"Defence, Self-Target",Basic,3,1,Gain (150% DEF) block. Gain Regen 15.,Gain (150% DEF) block. Gain Regen 15.,V4 Updated,Updated,,
FND-DB-020,Recalibrate,Default,Uncommon,"Defence, Self-Target",Basic,2,1,"Gain (30% DEF) block. If Regenerating, draw 2.","Gain (30% DEF) block. If Regenerating, draw 2.",V4 Updated,Updated,,
FND-DB-021,Heal,Default,Common,"Utility, Self-Target",Basic,1,0,Heal target shelved Fae for (35% DEF),Heal target shelved Fae for (35% DEF),V4 Updated,Updated,,
FND-DB-022,Rinse,Default,Uncommon,Utility,Basic,3,0,Clear all enemy positive effects. Apply Slow 1 to the opponent.,Clear all enemy positive effects. Apply Slow 1 to the opponent.,V4 Updated,Updated,,
FND-DB-023,Soothing Song,Default,Uncommon,"Utility, Self-Target",Basic,2,0,Clear all user negative effects. Gain Regen 3.,Clear all user negative effects. Gain Regen 3.,V4 Updated,Updated,,
FND-DB-024,Tanking,Default,Uncommon,"Defence, Self-Target",Basic,2,1,"Gain (75% DEF) block. If this fae swapped in this turn, gain (150% DEF) block instead.","Gain (75% DEF) block. If this fae swapped in this turn, gain (150% DEF) block instead.",V4 Updated,Updated,,
FND-DB-025,Recycle,Default,Rare,Utility,Basic,3,0,Both players shuffles all cards in their graveyard back into the decks of their respective Faes.,Both players shuffles all cards in their graveyard back into the decks of their respective Faes.,V4 Updated,Updated,,
FND-DB-026,Assist,Default,Rare,"Utility, Self-Target",Basic,0,0,Gain Focus 1.,Gain Focus 1.,V4 Updated,Updated,,
FND-DB-027,Bolster,Default,Rare,"Utility, Self-Target",Basic,1,0,"Gain Focus 1. If Focused, gain Focus 3 instead. ","Gain Focus 1. If Focused, gain Focus 3 instead. ",V4 Updated,Updated,,
FND-DB-028,Hinder,Default,Rare,Utility,Basic,0,0,Apply Fatigue 1 to opponent.,Apply Fatigue 1 to opponent.,V4 Updated,Updated,,
FND-DB-029,Cripple,Default,Rare,Utility,Basic,,,"Apply Fatigue 1 to opponent. If they're Fatigued, apply Fatigue 3 instead.","Apply Fatigue 1 to opponent. If they're Fatigued, apply Fatigue 3 instead.",V4 Updated,Updated,,
FND-DB-030,Attack Up,Default,Uncommon,"Utility, Self-Target",Basic,0,0,Gain Attack Up 1.,Gain Attack Up 1.,V4 Updated,Updated,,
FND-DB-031,Defense Up,Default,Uncommon,"Utility, Self-Target",Basic,0,0,Gain Defense Up 1.,Gain Defense Up 1.,V4 Updated,Updated,,
FND-DU-001,Stir,Default,Uncommon,Utility,Slocha,1,0,,"To play this card, shuffle 5 cards from your graveyard back into their respective fae's deck. Gain 1 MP",V4 Updated,Updated,,
FND-DU-002,Expresso,Default,Uncommon,Offensive,Slocha,2,0,,,,,,
,,,,,,,,,,,,,
FND-DU-001,Cappucino,Default,Uncommon,Utility,Slocha,1,,,"10% Defend. Gain Haste 1, Empowered: Gain Haste 3 instead, then Empower the next card played.",V3 Updated,Updated,,
FND-DU-002,Latte,Default,Uncommon,Utility,Slocha,1,,,"10% Defend. Apply Slow 1, Empowered: Apply Slow 3 instead, then Empower the next card played.",V3 Updated,Updated,,
FND-DU-003,Rapid Spin,Default,Uncommon,Offensive,Slocha,2,,,"80% Attack, if Hasted, 160% Attack instead. 20% Defend.",V3 Updated,Updated,,
FND-DU-004,Espresso,Default,Uncommon,Offensive,Slocha,0,,,"40% Attack, 10% Defend. Empowered: Empower the next card played.",V3 Updated,Updated,,
FND-DU-005,Affogato,Default,Uncommon,Defensive,Slocha,0,,,"30% Defend, Empowered: Draw 1 and Empower the next card played.",Official,Updated,,
FND-DU-006,Press,Default,Rare,Utility,Slocha,0,,,"If your opponent plays an Attack, Empower the next card played. (Negative Priority)",V3 Updated,Updated,,
FND-DU-007,Brew,Default,Rare,Utility,Slocha,1,,,"As an additional cost to play this card, exile 12 cards from your graveyard. Empower the next card played.",Official,Updated,,
FND-DU-008,Roast,Default,Rare,Utility,Slocha,1,,,Take damage equal to your Attack. Empower the next card played.,Official,Updated,,
FND-DU-009,Caffeinate,Default,Epic,Utility,Slocha,3,,,Empower the next card played. Empowered: gain 3 mp.,V3 Updated,Updated,,
FND-DU-010,Turtle Time,Default,Epic,Defensive,Slocha,2,,,"75% Defend. If Hasted, Empower the next card played. If enemy is Slowed, 150% Defend instead.",Official,Updated,,
FND-DU-011,Sip,Default,Uncommon,Utility,Haatea,3,,,Consume all Regen. Draw 1 card per Regen consumed. Gain 1 mp.,In progress,Updated,,
FND-DU-012,Boiling Point,Default,Uncommon,Offensive,Haatea,1,,,Consume all Regen.  (10% + 20% per Regen consumed) Attack .,In progress,Yes,,
FND-DU-013,Lavender Leech,Default,Uncommon,Offensive,Haatea,1,,,10% Attack. Gain Regen equal to damage dealt. ,In progress,Yes,,
FND-DU-014,Lemon-AId,Default,Uncommon,Defensive,Haatea,2,,,Gain Barrier 6. Gain Regen 2.,In progress,Updated,,
FND-DU-015,Trunk Shot,Default,Uncommon,Offensive,Haatea,X,,,Consume all mp. (10% per mp consumed) Attack. Gain 1 Regen per mp consumed. ,New Idea,Yes,,
FND-DU-016,Steep,Default,Rare,Utility,Haatea,0,,,Gain Regen 1 per mp spent this round.,In progress,Updated,,
FND-DU-017,Barrier Absorption ,Default,Rare,Utility,Haatea,0,,,Consume all Barrier. Gain Regen per Barrier consumed. ,In progress,Updated,,
FND-DU-018,Boil,Default,Rare,Utility,Haatea,0,,,"Whenever your opponent plays a card this round, gain Regen 1. ",In progress,Updated,,
FND-DU-019,Stir,Default,Epic,Utility,Haatea,0,,,"Whenever you gain Regen this round, gain that much Regen +1 instead.",In progress,No,,
FND-DU-020,Fanning Fortification,Default,Epic,Utility,Haatea,3,,,"Double your Regen, then gain barrier equal to your Regen. Gain 1 mp.",In progress,No,,
FND-JB-001,Dice Defend,Jacks [Discard/Luck],Uncommon,Defensive,Basic,1,,,Roll two 6-sided die. (Total Nubmer Rolled x 8)% Defend.,Official,Updated,,
FND-JB-002,Card Replacement Therapy,Jacks [Discard/Luck],Uncommon,Utility,Basic,0,,,"Draw 3 cards, then discard 3 cards at random.",Official,Updated,,
FND-JB-003,Diabolical Odds,Jacks [Discard/Luck],Rare,Utility,Basic,0,,,"Search your deck for any card, add it to your hand. Then discard 3 cards at random.",Official,Updated,,
FND-JB-004,Loaded Dice,Jacks [Discard/Luck],Uncommon,Utility,Basic,0,,,Pick a number between 1-6. Your next d6 dice will land on that number.,Official,Updated,,
FND-JB-005,Roll Off,Jacks [Discard/Luck],Rare,Utility,Basic,0,,,"Both players roll a d6 dice. The player with the higher number rolled draws 2 cards. If it's a tie, both players draw 2 cards.",Official,Updated,,
FND-JB-006,Double Down,Jacks [Discard/Luck],Epic,Utility,Basic,X,,,"While in hand, this card becomes an exact copy of the last played dice card.",Official,Updated,,
FND-JF-001,Lucky Shot,Jacks [Discard/Luck],Common,Offensive,Basic,2,,,"Roll a 6-sided die. On an even number, 125% Attack. On an odd number, 75% Attack.",Official,Updated,,
FND-JF-002,Power Gamble,Jacks [Discard/Luck],Uncommon,Utility,Basic,2,,,"Draw 3 cards. Then, discard all non-attack cards. ",Official,Updated,,
FND-JF-003,Experimental Blast,Jacks [Discard/Luck],Rare,Offensive,Basic,4,,,Reckless. Reckless. Reckless. 300% Attack. ,Official,Updated,,
FND-JF-004,Small Bet,Jacks [Discard/Luck],Uncommon,Offensive,Basic,1,,,Roll a 6-sided die. (30% + 10% per number rolled) Attack.,Official,Updated,,
FND-JF-005,Favoured Odds,Jacks [Discard/Luck],Uncommon,Offensive,Basic,1,,,Roll two 6-sided die. Discard cards equal to the lower number rolled. (30% x higher number rolled) Attack.,Official,Updated,,
FND-JF-006,Strong Arm,Jacks [Discard/Luck],Uncommon,Offensive,Basic,2,,,Strongarm. 85% Attack.,Official,Updated,,
FND-JF-007,Stronger Arm,Jacks [Discard/Luck],Uncommon,Offensive,Basic,3,,,Strongarm. 150% Attack.,Official,Updated,,
FND-JF-008,Gloves Off,Jacks [Discard/Luck],Uncommon,Offensive,Basic,2,,,Reckless. 150% Attack.,Official,Updated,,
FND-JF-009,Dice's Fury,Jacks [Discard/Luck],Epic,Offensive,Basic,3,,,Roll a d6. Attack 5% a number of times equal to the number rolled. Repeat this 6 times.,Official,Updated,,
FND-JG-001,Dice Barrier ,Jacks [Discard/Luck],Uncommon,Utility,Basic,2,,,Roll two 6-sided dice. Gain that much (number rolled % x HP) Barrier.,Official,Updated,,
FND-JP-001,Advantage,Jacks [Discard/Luck],Epic,Utility,Basic,0,,,"The next time you would roll one or more dice, instead roll that many dice plus one and ignore the lowest roll.",Official,Updated,,
FND-JP-002,Caltrops,Jacks [Discard/Luck],Epic,Offensive,Basic,1,,,"Pitch: When you discard a card this turn, 20% Attack.",Official,Updated,,
FND-JP-003,Lucky Investment ,Jacks [Discard/Luck],Rare,Utility,Basic,0,,,"Roll a d6 die, 1-3: draw a card, then discard a card at random, 4-6: draw a card, then your active fae draws another one next round ",V3 Updated,Updated,,
FND-JP-004,Forecast,Jacks [Discard/Luck],Rare,Utility,Basic,2,,,"Roll a d6 die, gain Haste equal to the number rolled.",Official,Updated,,
FND-JP-005,Take my Seat,Jacks [Discard/Luck],Uncommon,Utility,Basic,0,,,"Swap to another Fae, then shuffle 5 Dice in their deck.",Official,Updated,,
FND-JP-006,MP Roulette,Jacks [Discard/Luck],Uncommon,Utility,Basic,3,,,"Roll a d6 dice, gain that much MP next round.",Official,Updated,,
FND-JU-001,Savage Stab,Jacks [Discard/Luck],Uncommon,Offensive,Hooliquen,1,,,Reckless. Deal (101% ATK) damage.,V4 Updated,Updated,,
FND-JU-002,Oops!,Jacks [Discard/Luck],Uncommon,Offensive,Hooliquen,0,,,"Reckless > (100% ATK). If Reckless, Deal (44% ATK) unblockable damage.",V4 Updated,Updated,,
FND-JU-003,Non-Pointy End,Jacks [Discard/Luck],Uncommon,Offensive,Hooliquen,1,,,"If you were Reckless this round, draw 2 cards. Deal (25% ATK) damage.",V4 Updated,Updated,,
FND-JU-004,You're In For It Now,Jacks [Discard/Luck],Uncommon,Utility,Hooliquen,1,,,Hooliquen's next damaging move does an additional (25% ATK) damage. Strongarm. Gain 1 MP.,V4 Updated,Updated,,
FND-JU-005,Sinister Plotting,Jacks [Discard/Luck],Rare,Offensive,Hooliquen,0,,,"Reckless: > (100% ATK). If Reckless, gain 2 MP.",V4 Updated,Updated,,
FND-JU-006,Stack The Deck,Jacks [Discard/Luck],Rare,Utility,Hooliquen,1,,,Reckless. Hooliquen's next damaging move does an additional (50% ATK) damage. Gain 1 MP,V4 Updated,Updated,,
FND-JU-007,Breakneck Barrage,Jacks [Discard/Luck],Rare,Offensive,Hooliquen,2,,,"Reckless: > (100% ATK). If Reckless, gain 2 MP. Deal (125% ATK) damage.",V4 Updated,Updated,,
FND-JU-008,Battering Blow,Jacks [Discard/Luck],Rare,Utility,Hooliquen,2,,,Your next damaging move does an additional (50% ATK) damage if your opponent is Defending. Strongarm. Gain 2 mp.,V4 Updated,Updated,,
FND-JU-009,Devious Cackle,Jacks [Discard/Luck],Epic,Utility,Hooliquen,1,,,"Reckless: > (100% ATK). If Reckless, gain 2 MP and draw 2 cards. You gain +25% on all damaging moves this turn.",V4 Updated,Updated,,
FND-JU-010,Blackjack Beatdown,Jacks [Discard/Luck],Epic,Offensive,Hooliquen,4,,,"Reckless: > (100% ATK). If Reckless, Strongarm. Deal (200% ATK) damage.",Official,Yes,,"To play this card, discard 1 at random. If it has >100% ATK, Strongarm."
FND-JU-011,Snake Eyes,Jacks [Discard/Luck],Uncommon,Utility,Snake Eyes,0,,,The next 2 dice rolled will land on 1. ,Official,Updated,,
FND-JU-012,Ready to Roll,Jacks [Discard/Luck],Uncommon,Utility,Snake Eyes,1,,,Create 3 Dice in every ally Fae deck. ,Official,Updated,,
FND-JU-013,Snake Bite,Jacks [Discard/Luck],Uncommon,Offensive,Snake Eyes,2,,,75% Attack. Inflict 4 Poison.,Official,Updated,,
FND-JU-014,Insurance,Jacks [Discard/Luck],Uncommon,Utility,Snake Eyes,1,,,"Whenever you roll a 1 this round, create 1 Dice in every ally Fae deck. Gain 1 mp.",Official,Updated,,
FND-JU-015,Buy-In,Jacks [Discard/Luck],Uncommon,Utility,Snake Eyes,1,,,"Discard any number of cards, then create that many Dice in your deck.",Official,Updated,,
FND-JU-016,Rolldown,Jacks [Discard/Luck],Rare,Offensive,Snake Eyes,3,,,"Discard any number of cards, then roll that many d6 dice. (Total # rolled x 10%) Attack. If at least one 1 is rolled, gain 2 mp.",Official,Updated,,
FND-JU-017,Cash-Out,Jacks [Discard/Luck],Rare,Utility,Snake Eyes,3,,,"Discard any number of token cards, roll that many d6 dice, then gain Knowledge equal to the total number rolled.",Official,Updated,,
FND-JU-018,Rollout Roulette,Jacks [Discard/Luck],Rare,Offensive,Snake Eyes,2,,,"Reckless: Dice. If Reckless, Inflict 5 Poison. (10% + 20% per opponent poison stack) Attack.",Official,Updated,,
FND-JU-019,Aces in the Hole,Jacks [Discard/Luck],Epic,Offensive,Snake Eyes,3,,,"Roll 5 d6 dice. 1: inflict 3 Poison to opponent Fae. 2-4: (10 x number rolled)% Attack, 5: 50% Defend, 6: create 1 Dice in every ally Fae deck. ",Official,Updated,,
FND-JU-020,Shed & Split,Jacks [Discard/Luck],Epic,Utility,Snake Eyes,1,,,"As an additional cost to play this card, discard a Dice card. Remove all negative effects, then swap to an ally Fae. Gain 1 Knowledge and 1 mp.",Official,Updated,,
FND-MB-001,Hook,Mise [Mill],,,Basic,1,,,Mill 4.,,,,
FND-MB-002,Line,Mise [Mill],,,Basic,2,,,Dredge. 60% Defend.,,,,
FND-MB-003,Sinker,Mise [Mill],,,Basic,1,,,The opposing Fae Mills 4.,,,,
FND-MB-004,Washed Ashore,Mise [Mill],Epic,Utility,Basic,1,,,Dredge.,V4 Updated,Updated,,
FND-MF-001,,Mise [Mill],,Offensive,Forward,2,,,80% Attack. Increase this by +1% for every card in the graveyard.,,,,
FND-MF-002,,Mise [Mill],,Utility,Forward,2,,,Dredge twice. Salvage: Dredge three times.,,,,
FND-MF-003,,Mise [Mill],,Offensive,Forward,2,,,"Dredge. 35% Attack. If you Dredged a 0-cost card, 70% Attack instead.",,,,
FND-MF-004,,Mise [Mill],,Utility,Forward,2,,,40% Attack. 40% Defend. Increase this by +10% for each card that entered the graveyard this round.,,,,
FND-MF-005,,Mise [Mill],,,Forward,,,,,,,,
FND-MG-001,Capsize,Mise [Mill],,"Defensive, Utility",Guard,2,,,Shuffle 3 Flotsam into your Faes' decks. 85% Defend.,,,,
FND-MG-002,Ripcurrent,Mise [Mill],,Defensive,Guard,3,,,"Dredge twice. For each Salvage card you drew, 75% Defend.",,,,
FND-MG-003,Drench,Mise [Mill],,Utility,Guard,2,,,Mill 4. Inflict 2 Slow.,,,,
FND-MG-004,Rainstorm,Mise [Mill],,Utility,Guard,2,,,All Fae Mill 2. 20% Defend.,,,,
FND-MG-005,Storm Surge,Mise [Mill],,Offensive,Guard,2,,,60% Attack. Inflict Riptide 2.,,,,
FND-MG-006,Splash,Mise [Mill],,Utility,Guard,1,,,Mill 3. The opposing Fae Mills 3.,New Idea,No,,
FND-MP-001,Fervent Splash,Mise [Mill],,Defensive,Point,3,,,Mill 4. Your active Fae Mills 4 next round start. 80% Defend.,New Idea,No,,
FND-MP-002,Blockade,Mise [Mill],,Defensive,Point,2,,,75% Defend. Mill 3.,,No,,
FND-MP-003,Jettison,Mise [Mill],,Utility,Point,2,,,Mill 10.,,No,,
FND-MP-004,Waterlog,Mise [Mill],,Offensive,Point,2,,,65% Attack. Pitch: Mill 5.,New Idea,No,,
FND-MP-005,Abyssal Call,Mise [Mill],,Utility,Point,1,,,"Next round start, shuffle 3 Flotsam into the active Fae's deck and Dredge.",New Idea,No,,
FND-MP-006,Casting Line...,Mise [Mill],,Utility,Point,1,,,"Pitch: Dredge, 40% Attack.",,No,,
FND-MP-007,,Mise [Mill],,Utility,Point,3,,,"Pitch: Until you switch out, deal 1 damage every time you banish a card.",Needs Work,No,,
FND-MP-008,Whirlpool,Mise [Mill],,Offensive,Point,2,,,Inflict 2 Riptide. Mill 3.,,No,,
FND-MP-009,Undertow,Mise [Mill],,Offensive,Point,1,,,"50% Attack. Salvage: 100% Attack, then exile this card.",,No,,
